FS,DISK_GEOMETRY,case,SIZE,bench_throughput,bench_ram
3,1,bench_p26_wt_linear,1024,1280316.481028114,4480
3,1,bench_p26_wt_linear,1048576,1318012.6558249078,4576
3,1,bench_p26_wt_linear,131072,1389650.7059545387,4496
3,1,bench_p26_wt_linear,16384,452884.24815882597,4496
3,1,bench_p26_wt_linear,16777216,1051343.3361542197,4608
3,1,bench_p26_wt_linear,2048,894534.5445027874,4496
3,1,bench_p26_wt_linear,2097152,1286271.7206453916,4608
3,1,bench_p26_wt_linear,262144,1379520.5956029799,4576
3,1,bench_p26_wt_linear,32768,736650.4985289825,4496
3,1,bench_p26_wt_linear,33554432,801452.8204221408,4608
3,1,bench_p26_wt_linear,4096,689969.0229796272,4496
3,1,bench_p26_wt_linear,4194304,1249811.279328791,4608
3,1,bench_p26_wt_linear,524288,1342054.8855668237,4608
3,1,bench_p26_wt_linear,65536,1072692.3978865023,4496
3,1,bench_p26_wt_linear,8192,526509.2157382888,4496
3,1,bench_p26_wt_linear,8388608,1171154.402288118,4608
3,1,bench_p26_wt_logging,1024,31499.783429442676,4592
3,1,bench_p26_wt_logging,1048576,23569.999648087203,4592
3,1,bench_p26_wt_logging,131072,29020.7562498535,4592
3,1,bench_p26_wt_logging,16384,31599.603105731414,4592
3,1,bench_p26_wt_logging,16777216,14973.388951474737,4592
3,1,bench_p26_wt_logging,2048,27839.341794292304,4592
3,1,bench_p26_wt_logging,2097152,21601.574490082643,4592
3,1,bench_p26_wt_logging,262144,26932.743840932813,4592
3,1,bench_p26_wt_logging,32768,31221.21728889706,4592
3,1,bench_p26_wt_logging,33554432,13893.071827164982,4592
3,1,bench_p26_wt_logging,4096,22433.143220386413,4592
3,1,bench_p26_wt_logging,4194304,19624.40940752191,4592
3,1,bench_p26_wt_logging,524288,24240.43113242115,4592
3,1,bench_p26_wt_logging,65536,30403.52368131915,4592
3,1,bench_p26_wt_logging,8192,32058.345623728852,4592
3,1,bench_p26_wt_logging,8388608,17396.935049973312,4592
3,1,bench_p26_wt_many,1024,51216.6078888277,4608
3,1,bench_p26_wt_many,1048576,3947.7047435532927,4608
3,1,bench_p26_wt_many,131072,4261.4963009448,4608
3,1,bench_p26_wt_many,16384,12045.698735755197,4608
3,1,bench_p26_wt_many,16777216,3104.972590209676,4608
3,1,bench_p26_wt_many,2048,38768.85483004437,4608
3,1,bench_p26_wt_many,2097152,3857.3131645346307,4608
3,1,bench_p26_wt_many,262144,4159.549712387658,4608
3,1,bench_p26_wt_many,32768,4440.696059973777,4608
3,1,bench_p26_wt_many,33554432,3022.504697103501,4608
3,1,bench_p26_wt_many,4096,28323.820814134942,4608
3,1,bench_p26_wt_many,4194304,3759.698585791507,4608
3,1,bench_p26_wt_many,524288,4046.6351126614477,4608
3,1,bench_p26_wt_many,65536,4296.59840476142,4608
3,1,bench_p26_wt_many,8192,19535.014316678677,4608
3,1,bench_p26_wt_many,8388608,3470.2437254509164,4608
3,1,bench_p26_wt_random,1024,59398.49205991518,4576
3,1,bench_p26_wt_random,1048576,4648.014396918334,4576
3,1,bench_p26_wt_random,131072,10173.545756792548,4608
3,1,bench_p26_wt_random,16384,15681.128353156506,4608
3,1,bench_p26_wt_random,16777216,3194.0179154703656,4496
3,1,bench_p26_wt_random,2048,48215.0859969091,4576
3,1,bench_p26_wt_random,2097152,3632.0821884102656,4416
3,1,bench_p26_wt_random,262144,8435.17001156618,4608
3,1,bench_p26_wt_random,32768,12942.241497588971,4608
3,1,bench_p26_wt_random,33554432,3103.6698373092245,4592
3,1,bench_p26_wt_random,4096,37696.274913648005,4576
3,1,bench_p26_wt_random,4194304,3393.455087999616,4496
3,1,bench_p26_wt_random,524288,6666.982546450262,4576
3,1,bench_p26_wt_random,65536,11646.175065746696,4608
3,1,bench_p26_wt_random,8192,24161.76013665687,4608
3,1,bench_p26_wt_random,8388608,3275.035394519088,4592
